;IMBD Title ID;Original Title;Release Year;Genre;Duration;Country;Content Rating;Director;Income; Votes ;Score
0;0111161;The Shawshank Redemption;1995;Drama;142.0;USA;R;Frank Darabont;28815245;2.278.845;9.3
1;0068646;The Godfather;1972;Crime, Drama;175.0;USA;R;Francis Ford Coppola;246120974;1.572.674;9.2
2;0468569;The Dark Knight;2008;Action, Crime, Drama;152.0;USA;PG-13;Christopher Nolan;1005455211;2.241.615;9.0
3;0071562;The Godfather: Part II;1975;Crime, Drama;220.0;USA;R;Francis Ford Coppola;408035783;1.098.714;9.0
4;0110912;Pulp Fiction;1994;Crime, Drama;0.0;USA;R;Quentin Tarantino;222831817;1.780.147;8.0
5;0167260;The Lord of the Rings: The Return of the King;2004;Action, Adventure, Drama;201.0;New Zealand;PG-13;Peter Jackson;1142271098;1.604.280;8.9
6;0108052;Schindler's List;1994;Biography, Drama, History;0.0;USA;R;Steven Spielberg;322287794;1.183.248;8.9
7;0050083;12 Angry Men;1957;Crime, Drama;96.0;USA;Not informed;Sidney Lumet;576;668.473;8.9
8;1375666;Inception;2010;Action, Adventure, Sci-Fi;148.0;USA;PG-13;Christopher Nolan;869784991;2.002.816;8.8
9;0137523;Fight Club;1999;Drama;inf;UK;R;David Fincher;101218804;1.807.440;8.8
10;0109830;Forrest Gump;1994;Drama, Romance;142.0;USA;PG-13;Robert Zemeckis;678229452;1.755.490;88.0
11;0120737;The Lord of the Rings: The Fellowship of the Ring;2002;Action, Adventure, Drama;178.0;New Zealand;PG-13;Peter Jackson;887934303;1.619.920;8.8
12;0060196;Il buono, il brutto, il cattivo;1966;Western;161.0;Italy;Not informed;Sergio Leone;25252481;672.499;8.8
14;0133093;The Matrix;1999;Action, Sci-Fi;0.0;USA;R;Lana Wachowski, Lilly Wachowski;465718588;1.632.315;8.7
15;0167261;The Lord of the Rings: The Two Towers;2003;Action, Adventure, Drama;179.0;New Zeland;PG-13;Peter Jackson;951227416;1.449.778;8.7
16;0080684;Star Wars: Episode V - The Empire Strikes Back;1980;Action, Adventure, Fantasy;0.0;USA;PG;Irvin Kershner;549265501;1.132.073;8.0
17;0099685;Goodfellas;1990;Biography, Crime, Drama;146.0;USA;R;Martin Scorsese;46879633;991.505;8.7
18;0073486;One Flew Over the Cuckoo's Nest;1976;Drama;0.0;USA;R;Milos Forman;108997629;891.071;8.7
19;0816692;Interstellar;2014;Adventure, Drama, Sci-Fi;169.0;USA;PG-13;Christopher Nolan;696742056;1.449.256;8.6
20;0114369;Se7en;1995;Crime, Drama, Mystery;127.0;USA;R;David Fincher;327333559;1.402.015;8.6
21;0102926;The Silence of the Lambs;1991;Crime, Drama, Thriller;118.0;USA;R;Jonathan Demme;272753884;1.234.134;8.0
22;0076759;Star Wars;1977;Action, Adventure, Fantasy;121.0;USA;PG;George Lucas;775768912;1.204.107;8.6
23;0120815;Saving Private Ryan;1998;Drama, War;169.0;USA;R;Steven Spielberg;482349603;1.203.825;8.6
24;0120689;The Green Mile;2000;Crime, Drama, Fantasy;189.0;USA;R;Frank Darabont;286801374;1.112.336;8.6
25;0317248;Cidade de Deus;2003;Crime, Drama;130.0;Brazil;R;Fernando Meirelles, Kátia Lund;30680793;685.856;8.6
26;0245429;Sen to Chihiro no kamikakushi;2003;Animation, Adventure, Family;125.0;Japan;PG;Hayao Miyazaki;355467056;626.693;8.6
27;0118799;La vita B9 bella;1997;Comedy, Drama, Romance;116.0;Italy;Not informed;Roberto Benigni;230098753;605.648;8.6
28;6751668;Gisaengchung;2019;Comedy, Drama, Thriller;132.0;South Korea;Not informed;Bong Joon Ho;257604912;470.931;8.6
29;0038650;It's a Wonderful Life;1948;Drama, Family, Fantasy;130.0;USA;PG;Frank Capra;6130720;388.310;8.6
30;0047478;Shichinin no samurai;1955;Action, Adventure, Drama;207.0;Japan;Not informed;Akira Kurosawa;322773;307.958;8.6
31;0172495;Gladiator;2000;Action, Adventure, Drama;155.0;USA;R;Ridley Scott;465361176;1.308.193;8.5
32;0407887;The Departed;2006;Crime, Drama, Thriller;151.0;USA;R;Martin Scorsese;291465034;1.159.703;8.5
33;0482571;The Prestige;2006;Drama, Mystery, Sci-Fi;130.0;UK;PG-13;Christopher Nolan;109676311;1.155.723;8.5
34;0088763;Back to the Future;1985;Adventure, Comedy, Sci-Fi;116.0;USA;PG;Robert Zemeckis;388774684;1.027.330;8.5
35;0120586;American History X;1999;Drama;119.0;USA;R;Tony Kaye;23875127;1.014.218;8.5
36;0110413;Léon;1995;Action, Crime, Drama;110.0;France;Not informed;Luc Besson;19552639;1.007.598;8.5
37;0103064;Terminator 2: Judgment Day;1991;Action, Sci-Fi;137.0;USA;R;James Cameron;520884847;974.970;8.4
38;0114814;The Usual Suspects;1995;Crime, Mystery, Thriller;106.0;USA;R;Bryan Singer;23341568;968.947;8.4
39;0110357;The Lion King;1994;Animation, Adventure, Drama;88.0;USA;G;Roger Allers, Rob Minkoff;968511805;917.248;8.4
40;7286456;Joker;2019;Crime, Drama, Thriller;122.0;USA;Not informed;Todd Phillips;1074251311;855.097;8.4
41;1675434;Intouchables;2012;Biography, Comedy, Drama;112.0;France;Not informed;Olivier Nakache, Éric Toledano;426588510;736.691;8.4
42;0253474;The Pianist;2002;Biography, Drama, Music;150.0;UK;R;Roman Polanski;120072577;707.942;8.4
43;2582802;Whiplash;2015;Drama, Music;106.0;USA;R;Damien Chazelle;48983260;690.732;8.4
44;0054215;Psycho;1960;Horror, Mystery, Thriller;109.0;USA;R;Alfred Hitchcock;32008644;586.765;8.3
45;0034583;Casablanca;2046;Drama, Romance, War;102.0;USA;PG;Michael Curtiz;4374761;509.953;8.3
46;0064116;C'era una volta il West;1968;Western;165.0;Italy;PG-13;Sergio Leone;112911;295.220;8.3
47;0095327;Hotaru no haka;2015;Animation, Drama, War;89.0;Japan;Not informed;Isao Takahata;516962;225.438;8.3
48;0095765;Nuovo Cinema Paradiso;1988;Drama;155.0;Italy;Not informed;Giuseppe Tornatore;13826605;223.050;8.3
49;0027977;Modern Times;1937;Comedy, Drama, Family;87.0;USA;G;Charles Chaplin;457688;211.250;8.3
50;1345836;The Dark Knight Rises;2012;Action, Adventure;164.0;UK;PG-13;Christopher Nolan;1081133191;1.480.582;8.3
51;1853728;Django Unchained;2013;Drama, Western;165.0;USA;R;Quentin Tarantino;425368238;1.317.856;8.3
52;0209144;Memento;2001;Mystery, Thriller;113.0;USA;R;Christopher Nolan;39970386;1.098.879;8.2
53;0910970;WALL·E;2008;Animation, Adventure, Family;98.0;USA;G;Andrew Stanton;521311860;974.734;8.2
54;0081505;The Shining;1980;Drama, Horror;146.0;UK;R;Stanley Kubrick;46520613;869.480;8.2
55;0082971;Raiders of the Lost Ark;1981;Action, Adventure;115.0;USA;PG;Steven Spielberg;390133212;865.510;8.2
56;4154756;Avengers: Infinity War;2018;Action, Adventure, Sci-Fi;149.0;USA;Not informed;Anthony Russo, Joe Russo;2048359754;796.486;8.2
57;0078748;Alien;1979;Horror, Sci-Fi;117.0;UK;R;Ridley Scott;108110316;768.874;8.2
58;4154796;Avengers: Endgame;2019;Action, Adventure, Drama;181.0;USA;Not informed;Anthony Russo, Joe Russo;2797800564;754.786;8.2
59;0078788;Apocalypse Now;1979;Drama, Mystery, War;147.0;USA;R;Francis Ford Coppola;91968688;591.251;8.2
60;0364569;Oldeuboi;2005;Action, Drama, Mystery;120.0;South Korea;R;Chan-wook Park;15002116;501.082;8.1
61;0057012;Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb;1964;Comedy;95.0;UK;PG;Stanley Kubrick;9443876;441.115;8.1
62;0047396;Rear Window;1955;Mystery, Thriller;112.0;USA;Not informed;Alfred Hitchcock;37032034;432.390;8.1
63;2380307;Coco;2017;Animation, Adventure, Family;105.0;USA;Not informed;Lee Unkrich, Adrian Molina;807083670;352.455;8.1
64;0405094;Das Leben der Anderen;2007;Drama, Mystery, Thriller;137.0;Germany;R;Florian Henckel von Donnersmarck;77356942;349.642;8.1
65;4633694;Spider-Man: Into the Spider-Verse;2018;Animation, Action, Adventure;117.0;USA;Not informed;Bob Persichetti, Peter Ramsey;375540831;335.892;8.1
66;1187043;3 Idiots;2009;Comedy, Drama;170.0;India;Not informed;Rajkumar Hirani;60262836;332.217;8.1
67;0119698;Mononoke-hime;2000;Animation, Adventure, Fantasy;134.0;Japan;PG-13;Hayao Miyazaki;169785629;331.045;8.0
68;0087843;Once Upon a Time in America;1984;Crime, Drama;229.0;USA;R;Sergio Leone;5472914;302.317;8.0
69;0032553;The Great Dictator;1945;Comedy, Drama, War;125.0;USA;Not informed;Charles Chaplin;969879;197.381;8.0
70;0043014;Sunset Blvd.;1951;Drama, Film-Noir;110.0;USA;Not informed;Billy Wilder;299645;195.789;8.0
71;0361748;Inglourious Basterds;2009;Adventure, Drama, War;153.0;Germany;R;Quentin Tarantino;321455689;1.229.958;8.0
72;0169547;American Beauty;2000;Drama;122.0;USA;R;Sam Mendes;356296601;1.049.009;8.0
73;0112573;Braveheart;1995;Biography, Drama, History;178.0;USA;R;Mel Gibson;213216216;941.683;7.9
74;0086190;Star Wars: Episode VI - Return of the Jedi;1983;Action, Adventure, Fantasy;131.0;USA;PG;Richard Marquand;475347111;928.036;7.9
75;0105236;Reservoir Dogs;1992;Crime, Drama, Thriller;99.0;USA;R;Quentin Tarantino;2889963;896.551;7.9
76;0338013;Eternal Sunshine of the Spotless Mind;2004;Drama, Romance, Sci-Fi;108.0;USA;R;Michel Gondry;74036715;889.875;7.9
77;0114709;Toy Story;1996;Animation, Adventure, Comedy;81.0;USA;G;John Lasseter;404265438;864.461;7.9
78;0119217;Good Will Hunting;1998;Drama, Romance;126.0;USA;R;Gus Van Sant;225933435;837.379;7.8
79;0208092;Snatch;2001;Comedy, Crime;104.0;UK;R;Guy Ritchie;83557872;766.589;7.8
80;0180093;Requiem for a Dream;2000;Drama;102.0;USA;R;Darren Aronofsky;7390108;748.291;7.8
81;0066921;A Clockwork Orange;1972;Crime, Drama, Sci-Fi;136.0;UK;Not informed;Stanley Kubrick;26903440;740.301;7.8
82;0435761;Toy Story 3;2010;Animation, Adventure, Comedy;103.0;USA;G;Lee Unkrich;1066969703;739.717;7.8
83;0086250;Scarface;1984;Crime, Drama;170.0;USA;R;Brian De Palma;66023585;721.343;7.8
84;0075314;Taxi Driver;1976;Crime, Drama;114.0;USA;R;Martin Scorsese;28441292;703.264;7.7
85;0211915;Le fabuleux destin d'Amélie Poulain;2002;Comedy, Romance;122.0;France;R;Jean-Pierre Jeunet;173924742;690.480;7.7
86;0093058;Full Metal Jacket;1987;Drama, War;116.0;UK;Not informed;Stanley Kubrick;46357676;658.175;7.7
87;0090605;Aliens;1986;Action, Adventure, Sci-Fi;137.0;USA;R;James Cameron;131384634;639.500;7.7
88;0062622;2001: A Space Odyssey;1968;Adventure, Sci-Fi;149.0;UK;G;Stanley Kubrick;68989547;587.866;7.6
89;0033467;Citizen Kane;1948;Drama, Mystery;119.0;USA;Not informed;Orson Welles;1594107;389.322;7.6
90;8579674;1917;2020;Drama, War;119.0;USA;Not informed;Sam Mendes;384857224;362.897;7.6
91;0086879;Amadeus;1985;Biography, Drama, History;160.0;USA;R;Milos Forman;52066791;361.028;7.6
92;0052357;Vertigo;1958;Mystery, Romance, Thriller;128.0;USA;Not informed;Alfred Hitchcock;7796389;352.786;7.5
93;0053125;North by Northwest;1959;Adventure, Mystery, Thriller;136.0;USA;Not informed;Alfred Hitchcock;73446;291.628;7.5
94;2106476;Jagten;2012;Drama;115.0;Denmark;R;Thomas Vinterberg;15843274;269.616;7.5
95;0056172;Lawrence of Arabia;1963;Adventure, Biography, Drama;228.0;UK;PG;David Lean;45710874;261.504;7.5
96;0070735;The Sting;1974;Comedy, Crime, Drama;129.0;USA;PG;George Roy Hill;156000000;236.285;7.5
97;0082096;Das Boot;1982;Adventure, Drama, Thriller;149.0;West Germany;R;Wolfgang Petersen;11487676;226.427;7.5
98;0059578;Per qualche dollaro in più;1965;Western;132.0;Italy;Not informed;Sergio Leone;15000000;226.039;7.4
99;1832382;Jodaeiye Nader az Simin;2011;Drama;123.0;Iran;PG-13;Asghar Farhadi;22926076;214.165;7.4
100;0045152;Singin' in the Rain;1953;Comedy, Musical, Romance;103.0;USA;Not informed;Stanley Donen;1864182;213.152;7.4
